Age,Gender,Position,yte,q2,q1,q4,q5,location,q3
20-30,Female,Deputy Headteacher,More than 20,No,Dissatisfied,Satisfied,Satisfied,weteithie,Poor
30-40,Female,Teacher,Less than 20,Not Sure,Very Satisfied,Very Satisfied,Dissatisfied,kalimoni,Poor
40-50,Female,Deputy Headteacher,More than 20,Yes,Satisfied,Dissatisfied,Neutral,juja,Good
40-50,Male,Teacher,Less than 20,Yes,Neutral,Dissatisfied,Dissatisfied,juja,Poor
40-50,Male,Head Teacher,Less than 20,Yes,Satisfied,Satisfied,Satisfied,murera,Good
50-60,Male,Head Teacher,More than 20,Yes,Satisfied,Dissatisfied,Satisfied,weteithie,Average
30-40,Male,Deputy Headteacher,More than 20,No,Dissatisfied,Very Dissatisfied,Satisfied,murera,Average
40-50,Male,Teacher,Less than 20,Yes,Neutral,Satisfied,Dissatisfied,weteithie,Poor
40-50,Female,Deputy Headteacher,More than 20,Yes,Dissatisfied,Neutral,Dissatisfied,weteithie,Good
20-30,Female,Deputy Headteacher,Less than 20,Yes,Very Dissatisfied,Dissatisfied,Satisfied,murera,Very Poor
40-50,Female,Teacher,Less than 20,Yes,Dissatisfied,Satisfied,Neutral,juja,Average
40-50,Male,Deputy Headteacher,Less than 20,Yes,Dissatisfied,Dissatisfied,Dissatisfied,theta,Poor
40-50,Female,Teacher,More than 20,Yes,Neutral,Very Satisfied,Neutral,murera,Excellent
40-50,Male,Deputy Headteacher,More than 20,Yes,Satisfied,Satisfied,Satisfied,weteithie,Excellent
20-30,Male,Deputy Headteacher,More than 20,Yes,Very Satisfied,Dissatisfied,Very Dissatisfied,kalimoni,Average
20-30,Male,Teacher,More than 20,Yes,Dissatisfied,Neutral,Satisfied,theta,Good
30-40,Male,Teacher,Less than 20,Not Sure,Neutral,Dissatisfied,Satisfied,juja,Good
20-30,Male,Deputy Headteacher,Less than 20,No,Satisfied,Very Satisfied,Neutral,juja,Poor
40-50,Female,Teacher,Less than 20,Yes,Very Satisfied,Very Satisfied,Very Satisfied,murera,Average
40-50,Male,Head Teacher,More than 20,Yes,Neutral,Very Satisfied,Satisfied,theta,Poor
50-60,Male,Deputy Headteacher,More than 20,No,Satisfied,Neutral,Neutral,kalimoni,Very Poor
20-30,Female,Teacher,More than 20,Yes,Neutral,Very Satisfied,Very Satisfied,juja,Very Poor
30-40,Male,Head Teacher,More than 20,Yes,Satisfied,Satisfied,Satisfied,theta,Poor
40-50,Male,Head Teacher,More than 20,Yes,Very Satisfied,Satisfied,Satisfied,murera,Poor
